peak_id	transcription_factor	comparison	SqDiff
MM1_HSA_HeLa-S3_CEBPB	CEBPB	FOS	0.286419254819515
MM1_HSA_HeLa-S3_CEBPB	CEBPB	TFAP2A	0.123837320055668
MM1_HSA_HeLa-S3_E2F6	E2F6	GABPA	0.0401783721310906
MM1_HSA_HeLa-S3_E2F6	E2F6	ELK4	0.0346029397784085
MM1_HSA_HeLa-S3_IRF3	IRF3	IRF3	0.105055398849303
MM1_HSA_HeLa-S3_IRF3	IRF3	NFYA	0.272934385152052
MM1_HSA_HeLa-S3_IRF3	IRF3	NFYB	0.255892622444426
MM1_HSA_HeLa-S3_JUN	JUN	JUN	0.0506723832732662
MM1_HSA_HeLa-S3_JUN	JUN	JUND	0.0673562810755949
MM1_HSA_HeLa-S3_JUN	JUN	NFE2L2	0.100868091766897
MM1_HSA_HeLa-S3_JUND	JUND	JUN	0.0342631886445871
MM1_HSA_HeLa-S3_JUND	JUND	NFE2L2	0.0661631166487912
MM1_HSA_HeLa-S3_MAFF	MAFF	NFE2L2	0.0496891199328293
MM1_HSA_HeLa-S3_MAFF	MAFF	JUN	0.0609420078631462
MM1_HSA_HeLa-S3_MAFF	MAFF	JUND	0.0629593840089903
MM1_HSA_HeLa-S3_MAFK	MAFK	NFE2L2	0.0325720756414446
MM1_HSA_HeLa-S3_MAFK	MAFK	JUN	0.0457527495551515
MM1_HSA_HeLa-S3_MAFK	MAFK	JUND	0.0411564758886772
MM1_HSA_HeLa-S3_MYC	MYC	MXI1	0.0413282226830204
MM1_HSA_HeLa-S3_NFE2L2	NFE2L2	JUN	0.086414201397212
MM1_HSA_HeLa-S3_NFE2L2	NFE2L2	JUND	0.105509687591844
MM1_HSA_HeLa-S3_NFE2L2	NFE2L2	FOS	0.0612771208252007
MM1_HSA_HeLa-S3_NFYB	NFYB	NFYB	0.0788499913583216
MM1_HSA_HeLa-S3_NFYB	NFYB	NFYA	0.140092405277229
MM1_HSA_HeLa-S3_NFYB	NFYB	IRF3	0.0611200788616382
MM1_HSA_HeLa-S3_NFYB	NFYB	GABPA	0.0348314352117015
MM1_HSA_HeLa-S3_REST	REST	CTCF	0.0468512877420659
MM1_HSA_HepG2_ATF2	ATF2	CREB1	0.05297613488065398
MM1_HSA_HepG2_ATF4	ATF4	ATF4	0.03484565382347802
MM1_HSA_HepG2_ATF4	ATF4	CEBPB	0.03763463770586277
MM1_HSA_HepG2_ATF4	ATF4	CEBPA	0.05277648287674646
MM1_HSA_HepG2_ATF7	ATF7	ATF2	0.03814424352064892
MM1_HSA_HepG2_ATF7	ATF7	JUN	0.04612196694558708
MM1_HSA_HepG2_BACH1	BACH1	FOSL2	0.04323816299189022
MM1_HSA_HepG2_BCL6	BCL6	FOXA3	0.04871711626651254
MM1_HSA_HepG2_BHLHE40	BHLHE40	USF2	0.035177905537803394
MM1_HSA_HepG2_BHLHE40	BHLHE40	ATF3	0.06751524584198428
MM1_HSA_HepG2_BHLHE40	BHLHE40	MAX	0.03669811097129316
MM1_HSA_HepG2_CEBPA	CEBPA	CEBPD	0.06589656256399866
MM1_HSA_HepG2_CEBPA	CEBPA	HLF	0.05320362131062622
MM1_HSA_HepG2_CEBPB	CEBPB	CEBPD	0.07566171538650988
MM1_HSA_HepG2_CEBPD	CEBPD	CEBPA	0.0668570036268987
MM1_HSA_HepG2_CEBPD	CEBPD	HLF	0.04981375452401358
MM1_HSA_HepG2_CEBPG	CEBPG	CEBPG	0.048541848328103196
MM1_HSA_HepG2_CEBPG	CEBPG	CEBPA	0.06545035088930626
MM1_HSA_HepG2_CEBPG	CEBPG	HLF	0.10957423973000494
MM1_HSA_HepG2_CEBPG	CEBPG	CEBPD	0.03458818732204056
MM1_HSA_HepG2_CTCF	CTCF	ARID3A	0.03269414968749342
MM1_HSA_HepG2_ELF1	ELF1	ELF3	0.10668026175997922
MM1_HSA_HepG2_ELF1	ELF1	ETV4	0.0531109916376661
